Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Santa Cruz Warriors,SCW,G League,2013,West,2,NA,NA,Yes,2,0,Fort Wayne Mad Ants,Yes,2,0,Austin Toros,Yes,NA,NA,NA,NA,0,2,Rio Grande Valley Vipers,No
Los Angeles D-Fenders,LOS,G League,2013,West,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2013,West,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2013,West,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2014,Central,2,NA,NA,Yes,2,1,Canton Charge,Yes,0,2,Fort Wayne Mad Ants,No,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2014,Central,1,NA,NA,Yes,1,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2014,Central,3,NA,NA,Yes,2,1,Iowa Energy,Yes,1,2,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2014,Central,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2014,Central,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Toros,AST,G League,2014,Central,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2014,East,1,NA,NA,Yes,2,0,Reno Bighorns,Yes,2,0,Sioux Falls Skyforce,Yes,NA,NA,NA,NA,2,0,Santa Cruz Warriors,Yes
Canton Charge,CAN,G League,2014,East,2,NA,NA,Yes,1,2,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
