Team Name,Team Abbr.,Season,League,URL
Raptors 905,RAP,2020,G League,https://www.basketball-reference.com/gleague/teams/RAP/2020.html
Raptors 905,RAP,2021,G League,https://www.basketball-reference.com/gleague/teams/RAP/2021.html
Raptors 905,RAP,2022,G League,https://www.basketball-reference.com/gleague/teams/RAP/2022.html
Raptors 905,RAP,2023,G League,https://www.basketball-reference.com/gleague/teams/RAP/2023.html
Raptors 905,RAP,2024,G League,https://www.basketball-reference.com/gleague/teams/RAP/2024.html
Rio Grande Valley Vipers,RGV,2008,G League,https://www.basketball-reference.com/gleague/teams/RGV/2008.html
Rio Grande Valley Vipers,RGV,2009,G League,https://www.basketball-reference.com/gleague/teams/RGV/2009.html
Rio Grande Valley Vipers,RGV,2010,G League,https://www.basketball-reference.com/gleague/teams/RGV/2010.html
Rio Grande Valley Vipers,RGV,2011,G League,https://www.basketball-reference.com/gleague/teams/RGV/2011.html
Rio Grande Valley Vipers,RGV,2012,G League,https://www.basketball-reference.com/gleague/teams/RGV/2012.html
Rio Grande Valley Vipers,RGV,2013,G League,https://www.basketball-reference.com/gleague/teams/RGV/2013.html
Rio Grande Valley Vipers,RGV,2014,G League,https://www.basketball-reference.com/gleague/teams/RGV/2014.html
Rio Grande Valley Vipers,RGV,2015,G League,https://www.basketball-reference.com/gleague/teams/RGV/2015.html
Rio Grande Valley Vipers,RGV,2016,G League,https://www.basketball-reference.com/gleague/teams/RGV/2016.html
Rio Grande Valley Vipers,RGV,2017,G League,https://www.basketball-reference.com/gleague/teams/RGV/2017.html
Rio Grande Valley Vipers,RGV,2018,G League,https://www.basketball-reference.com/gleague/teams/RGV/2018.html
Rio Grande Valley Vipers,RGV,2019,G League,https://www.basketball-reference.com/gleague/teams/RGV/2019.html
Rio Grande Valley Vipers,RGV,2020,G League,https://www.basketball-reference.com/gleague/teams/RGV/2020.html
Rio Grande Valley Vipers,RGV,2021,G League,https://www.basketball-reference.com/gleague/teams/RGV/2021.html
Rio Grande Valley Vipers,RGV,2022,G League,https://www.basketball-reference.com/gleague/teams/RGV/2022.html
Rio Grande Valley Vipers,RGV,2023,G League,https://www.basketball-reference.com/gleague/teams/RGV/2023.html
Rio Grande Valley Vipers,RGV,2024,G League,https://www.basketball-reference.com/gleague/teams/RGV/2024.html
Rip City Remix,RIP,2024,G League,https://www.basketball-reference.com/gleague/teams/RIP/2024.html
Salt Lake City Stars,SLC,2017,G League,https://www.basketball-reference.com/gleague/teams/SLC/2017.html
Salt Lake City Stars,SLC,2018,G League,https://www.basketball-reference.com/gleague/teams/SLC/2018.html
Salt Lake City Stars,SLC,2019,G League,https://www.basketball-reference.com/gleague/teams/SLC/2019.html
Salt Lake City Stars,SLC,2020,G League,https://www.basketball-reference.com/gleague/teams/SLC/2020.html
Salt Lake City Stars,SLC,2021,G League,https://www.basketball-reference.com/gleague/teams/SLC/2021.html
Salt Lake City Stars,SLC,2022,G League,https://www.basketball-reference.com/gleague/teams/SLC/2022.html
Salt Lake City Stars,SLC,2023,G League,https://www.basketball-reference.com/gleague/teams/SLC/2023.html
Salt Lake City Stars,SLC,2024,G League,https://www.basketball-reference.com/gleague/teams/SLC/2024.html
Idaho Stampede,IDA,2007,G League,https://www.basketball-reference.com/gleague/teams/IDA/2007.html
Idaho Stampede,IDA,2008,G League,https://www.basketball-reference.com/gleague/teams/IDA/2008.html
Idaho Stampede,IDA,2009,G League,https://www.basketball-reference.com/gleague/teams/IDA/2009.html
Idaho Stampede,IDA,2010,G League,https://www.basketball-reference.com/gleague/teams/IDA/2010.html
Idaho Stampede,IDA,2011,G League,https://www.basketball-reference.com/gleague/teams/IDA/2011.html
Idaho Stampede,IDA,2012,G League,https://www.basketball-reference.com/gleague/teams/IDA/2012.html
Idaho Stampede,IDA,2013,G League,https://www.basketball-reference.com/gleague/teams/IDA/2013.html
Idaho Stampede,IDA,2014,G League,https://www.basketball-reference.com/gleague/teams/IDA/2014.html
Idaho Stampede,IDA,2015,G League,https://www.basketball-reference.com/gleague/teams/IDA/2015.html
Idaho Stampede,IDA,2016,G League,https://www.basketball-reference.com/gleague/teams/IDA/2016.html
Santa Cruz Warriors,SCW,2013,G League,https://www.basketball-reference.com/gleague/teams/SCW/2013.html
Santa Cruz Warriors,SCW,2014,G League,https://www.basketball-reference.com/gleague/teams/SCW/2014.html
