Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Play-In,Win Play-In,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Miami Heat,MIA,NBA,1997,Atlantic,1,Eastern,2,No,No,3,2,Orlando Magic,Yes,4,3,New York Knicks,Yes,1,4,Chicago Bulls,No,NA,NA,NA,NA
New York Knicks,NYK,NBA,1997,Atlantic,2,Eastern,3,No,No,3,0,Charlotte Hornets,Yes,3,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1997,Central,2,Eastern,4,No,No,3,2,Detroit Pistons,Yes,1,4,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1997,Central,3,Eastern,5,No,No,2,3,Atlanta Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Hornets,CHH,NBA,1997,Central,4,Eastern,6,No,No,0,3,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,1997,Atlantic,3,Eastern,7,No,No,2,3,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1997,Atlantic,4,Eastern,8,No,No,0,3,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1997,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1997,Central,6,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,1997,Central,7,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,1997,Central,8,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1997,Atlantic,5,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1997,Atlantic,6,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1997,Atlantic,7,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1997,Midwest,1,Western,1,No,No,3,0,Los Angeles Clippers,Yes,4,1,Los Angeles Lakers,Yes,4,2,Houston Rockets,Yes,2,4,Chicago Bulls,No
Seattle SuperSonics,SEA,NBA,1997,Pacific,1,Western,2,No,No,3,2,Phoenix Suns,Yes,3,4,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1997,Midwest,2,Western,3,No,No,3,0,Minnesota Timberwolves,Yes,4,3,Seattle SuperSonics,Yes,2,4,Utah Jazz,No,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1997,Pacific,2,Western,4,No,No,3,1,Portland Trail Blazers,Yes,1,4,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1997,Pacific,3,Western,5,No,No,1,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,1997,Midwest,3,Western,6,No,No,0,3,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1997,Pacific,4,Western,7,No,No,2,3,Seattle SuperSonics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,1997,Pacific,5,Western,8,No,No,0,3,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,1997,Pacific,6,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1997,Pacific,7,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1997,Midwest,4,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1997,Midwest,5,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1997,Midwest,6,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Grizzlies,VAN,NBA,1997,Midwest,7,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1998,Central,1,Eastern,1,No,No,3,0,New Jersey Nets,Yes,4,1,Charlotte Hornets,Yes,4,3,Indiana Pacers,Yes,4,2,Utah Jazz,Yes
Miami Heat,MIA,NBA,1998,Atlantic,1,Eastern,2,No,No,2,3,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1998,Central,2,Eastern,3,No,No,3,1,Cleveland Cavaliers,Yes,4,1,New York Knicks,Yes,3,4,Chicago Bulls,No,NA,NA,NA,NA
Charlotte Hornets,CHH,NBA,1998,Central,3,Eastern,4,No,No,3,1,Atlanta Hawks,Yes,1,4,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1998,Central,4,Eastern,5,No,No,1,3,Charlotte Hornets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1998,Central,5,Eastern,6,No,No,1,3,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1998,Atlantic,2,Eastern,7,No,No,3,2,Miami Heat,Yes,1,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1998,Atlantic,3,Eastern,8,No,No,0,3,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,1998,Atlantic,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,1998,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1998,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1998,Atlantic,6,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,1998,Central,7,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1998,Atlantic,7,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,1998,Central,8,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1998,Midwest,1,Western,1,No,No,3,2,Houston Rockets,Yes,4,1,San Antonio Spurs,Yes,4,0,Los Angeles Lakers,Yes,2,4,Chicago Bulls,No
Seattle SuperSonics,SEA,NBA,1998,Pacific,1,Western,2,No,No,3,2,Minnesota Timberwolves,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1998,Pacific,2,Western,3,No,No,3,1,Portland Trail Blazers,Yes,4,1,Seattle SuperSonics,Yes,0,4,Utah Jazz,No,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1998,Pacific,3,Western,4,No,No,1,3,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1998,Midwest,2,Western,5,No,No,3,1,Phoenix Suns,Yes,1,4,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1998,Pacific,4,Western,6,No,No,1,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,1998,Midwest,3,Western,7,No,No,2,3,Seattle SuperSonics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1998,Midwest,4,Western,8,No,No,2,3,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,1998,Pacific,5,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1998,Midwest,5,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Grizzlies,VAN,NBA,1998,Midwest,6,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1998,Pacific,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,1998,Pacific,7,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1998,Midwest,7,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Heat,MIA,NBA,1999,Atlantic,1,Eastern,1,No,No,2,3,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1999,Central,1,Eastern,2,No,No,3,0,Milwaukee Bucks,Yes,4,0,Philadelphia 76ers,Yes,2,4,New York Knicks,No,NA,NA,NA,NA
Orlando Magic,ORL,NBA,1999,Atlantic,2,Eastern,3,No,No,1,3,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1999,Central,2,Eastern,4,No,No,3,2,Detroit Pistons,Yes,0,4,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1999,Central,3,Eastern,5,No,No,2,3,Atlanta Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1999,Atlantic,3,Eastern,6,No,No,3,1,Orlando Magic,Yes,0,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,1999,Central,4,Eastern,7,No,No,0,3,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1999,Atlantic,4,Eastern,8,No,No,3,2,Miami Heat,Yes,4,0,Atlanta Hawks,Yes,4,2,Indiana Pacers,Yes,1,4,San Antonio Spurs,No
Charlotte Hornets,CHH,NBA,1999,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,1999,Central,6,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1999,Central,7,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1999,Atlantic,5,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,1999,Atlantic,6,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1999,Atlantic,7,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1999,Central,8,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1999,Midwest,1,Western,1,No,No,3,1,Minnesota Timberwolves,Yes,4,0,Los Angeles Lakers,Yes,4,0,Portland Trail Blazers,Yes,4,1,New York Knicks,Yes
Utah Jazz,UTA,NBA,1999,Midwest,2,Western,2,No,No,3,2,Sacramento Kings,Yes,2,4,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1999,Pacific,1,Western,3,No,No,3,0,Phoenix Suns,Yes,4,2,Utah Jazz,Yes,0,4,San Antonio Spurs,No,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1999,Midwest,3,Western,4,No,No,1,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1999,Pacific,2,Western,5,No,No,3,1,Houston Rockets,Yes,0,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1999,Pacific,3,Western,6,No,No,0,3,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,1999,Pacific,4,Western,7,No,No,2,3,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,1999,Midwest,4,Western,8,No,No,1,3,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1999,Pacific,5,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1999,Pacific,6,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1999,Midwest,5,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1999,Midwest,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,1999,Pacific,7,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Grizzlies,VAN,NBA,1999,Midwest,7,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2000,Central,1,Eastern,1,No,No,3,2,Milwaukee Bucks,Yes,4,2,Philadelphia 76ers,Yes,4,2,New York Knicks,Yes,2,4,Los Angeles Lakers,No
Miami Heat,MIA,NBA,2000,Atlantic,1,Eastern,2,No,No,3,0,Detroit Pistons,Yes,3,4,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,2000,Atlantic,2,Eastern,3,No,No,3,0,Toronto Raptors,Yes,4,3,Miami Heat,Yes,2,4,Indiana Pacers,No,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2000,Atlantic,3,Eastern,4,No,No,3,1,Charlotte Hornets,Yes,2,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Hornets,CHH,NBA,2000,Central,2,Eastern,5,No,No,1,3,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,2000,Central,3,Eastern,6,No,No,0,3,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2000,Central,4,Eastern,7,No,No,0,3,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2000,Central,5,Eastern,8,No,No,2,3,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2000,Atlantic,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2000,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2000,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,2000,Atlantic,6,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2000,Atlantic,7,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2000,Central,7,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,2000,Central,8,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,2000,Pacific,1,Western,1,No,No,3,2,Sacramento Kings,Yes,4,1,Phoenix Suns,Yes,4,3,Portland Trail Blazers,Yes,4,2,Indiana Pacers,Yes
Utah Jazz,UTA,NBA,2000,Midwest,1,Western,2,No,No,3,2,Seattle SuperSonics,Yes,1,4,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2000,Pacific,2,Western,3,No,No,3,1,Minnesota Timberwolves,Yes,4,1,Utah Jazz,Yes,3,4,Los Angeles Lakers,No,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,2000,Midwest,2,Western,4,No,No,1,3,Phoenix Suns,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2000,Pacific,3,Western,5,No,No,3,1,San Antonio Spurs,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2000,Midwest,3,Western,6,No,No,1,3,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,2000,Pacific,4,Western,7,No,No,2,3,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,2000,Pacific,5,Western,8,No,No,2,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2000,Midwest,4,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,2000,Midwest,5,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,2000,Midwest,6,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Grizzlies,VAN,NBA,2000,Midwest,7,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2000,Pacific,6,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2000,Pacific,7,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2001,Atlantic,1,Eastern,1,No,No,3,1,Indiana Pacers,Yes,4,3,Toronto Raptors,Yes,4,3,Milwaukee Bucks,Yes,1,4,Los Angeles Lakers,No
Milwaukee Bucks,MIL,NBA,2001,Central,1,Eastern,2,No,No,3,1,Orlando Magic,Yes,4,3,Charlotte Hornets,Yes,3,4,Philadelphia 76ers,No,NA,NA,NA,NA
Miami Heat,MIA,NBA,2001,Atlantic,2,Eastern,3,No,No,0,3,Charlotte Hornets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,2001,Atlantic,3,Eastern,4,No,No,2,3,Toronto Raptors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,2001,Central,2,Eastern,5,No,No,3,2,New York Knicks,Yes,3,4,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Hornets,CHH,NBA,2001,Central,3,Eastern,6,No,No,3,0,Miami Heat,Yes,3,4,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2001,Atlantic,4,Eastern,7,No,No,1,3,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2001,Central,4,Eastern,8,No,No,1,3,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2001,Atlantic,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2001,Central,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2001,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,2001,Atlantic,6,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2001,Central,7,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2001,Atlantic,7,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,2001,Central,8,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,2001,Midwest,1,Western,1,No,No,3,1,Minnesota Timberwolves,Yes,4,1,Dallas Mavericks,Yes,0,4,Los Angeles Lakers,No,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,2001,Pacific,1,Western,2,No,No,3,0,Portland Trail Blazers,Yes,4,0,Sacramento Kings,Yes,4,0,San Antonio Spurs,Yes,4,1,Philadelphia 76ers,Yes
Sacramento Kings,SAC,NBA,2001,Pacific,2,Western,3,No,No,3,1,Phoenix Suns,Yes,0,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,2001,Midwest,2,Western,4,No,No,2,3,Dallas Mavericks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2001,Midwest,3,Western,5,No,No,3,2,Utah Jazz,Yes,1,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2001,Pacific,3,Western,6,No,No,1,3,Sacramento Kings,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2001,Pacific,4,Western,7,No,No,0,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2001,Midwest,4,Western,8,No,No,1,3,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,2001,Midwest,5,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,2001,Pacific,5,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,2001,Midwest,6,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2001,Pacific,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vancouver Grizzlies,VAN,NBA,2001,Midwest,7,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2001,Pacific,7,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,2002,Atlantic,1,Eastern,1,No,No,3,2,Indiana Pacers,Yes,4,1,Charlotte Hornets,Yes,4,2,Boston Celtics,Yes,0,4,Los Angeles Lakers,No
Detroit Pistons,DET,NBA,2002,Central,1,Eastern,2,No,No,3,2,Toronto Raptors,Yes,1,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2002,Atlantic,2,Eastern,3,No,No,3,2,Philadelphia 76ers,Yes,4,1,Detroit Pistons,Yes,2,4,New Jersey Nets,No,NA,NA,NA,NA
Charlotte Hornets,CHH,NBA,2002,Central,2,Eastern,4,No,No,3,1,Orlando Magic,Yes,1,4,New Jersey Nets,No,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2002,Atlantic,3,Eastern,5,No,No,1,3,Charlotte Hornets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2002,Atlantic,4,Eastern,6,No,No,2,3,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,2002,Central,3,Eastern,7,No,No,2,3,Detroit Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2002,Central,4,Eastern,8,No,No,2,3,New Jersey Nets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2002,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
